book_id,chap_num,term_str,n
1,1,111,1
1,1,130,1
1,1,22nd,2
1,1,3,1
1,1,33,1
1,1,a,224
1,1,able,2
1,1,abominable,1
1,1,about,26
1,1,absurd,2
1,1,abundant,1
1,1,accident,1
1,1,according,2
1,1,accounts,1
1,1,accusing,1
1,1,acquired,1
1,1,actually,3
1,1,added,2
1,1,adding,1
1,1,addition,2
1,1,additions,1
1,1,addressed,2
1,1,adelard,2
1,1,adjoining,1
1,1,admirable,1
1,1,admirers,1
1,1,admittance,1
1,1,adopted,1
1,1,adoption,1
1,1,adventures,1
1,1,advice,3
1,1,affair,3
1,1,afraid,1
1,1,after,19
1,1,afternoon,2
1,1,afterwards,1
1,1,again,28
1,1,age,6
1,1,agin,1
1,1,ago,3
1,1,agreed,3
1,1,ah,1
1,1,ahead,1
1,1,air,5
1,1,alarm,1
1,1,alarmed,2
1,1,all,67
1,1,allowed,2
1,1,allude,1
1,1,almost,4
1,1,alone,2
1,1,already,5
1,1,also,14
1,1,altering,1
1,1,always,6
1,1,am,24
1,1,among,6
1,1,an,29
1,1,ancient,1
1,1,and,418
1,1,andjools,1
1,1,angelica,1
1,1,anger,1
1,1,angry,3
1,1,anniversary,1
1,1,announce,1
1,1,announced,1
1,1,announcement,1
1,1,annoyance,2
1,1,another,2
1,1,answered,6
1,1,answers,1
1,1,anxiety,1
1,1,any,13
1,1,anyhow,1
1,1,anyone,2
1,1,anything,3
1,1,anyway,7
1,1,anywhere,1
1,1,apparently,1
1,1,appeared,3
1,1,approval,1
1,1,are,17
1,1,argued,1
1,1,army,1
1,1,around,4
1,1,arrangement,1
1,1,arrangements,1
1,1,arrival,2
1,1,arrived,3
1,1,art,1
1,1,articles,2
1,1,as,69
1,1,ask,1
1,1,asked,7
1,1,assembled,1
1,1,assembly,1
1,1,assistant,1
1,1,assortment,1
1,1,astonished,1
1,1,at,73
1,1,attentive,2
1,1,attractions,1
1,1,audience,2
1,1,authority,2
1,1,autumn,1
1,1,away,24
1,1,back,15
1,1,backarappers,1
1,1,backed,1
1,1,bad,5
1,1,badger,1
1,1,badgering,1
1,1,bag,25
1,1,baggins,20
1,1,bagginses,16
1,1,bags,2
1,1,bagshot,3
1,1,balls,1
1,1,bank,1
1,1,banquet,1
1,1,bargain,1
1,1,barkers,1
1,1,barrel,1
1,1,barrows,2
1,1,basket,1
1,1,battered,1
1,1,battering,1
1,1,bb,1
1,1,be,44
1,1,bead,1
1,1,beaming,1
1,1,bear,1
1,1,beard,1
1,1,beards,1
1,1,beats,1
1,1,beautiful,1
1,1,became,2
1,1,become,2
1,1,bed,1
1,1,been,26
1,1,beer,1
1,1,before,15
1,1,beg,1
1,1,began,19
1,1,begin,1
1,1,beginning,1
1,1,begun,2
1,1,behaviour,1
1,1,behind,3
1,1,being,11
1,1,belated,1
1,1,believe,2
1,1,believed,2
1,1,bell,1
1,1,bells,1
1,1,belong,1
1,1,belonged,1
1,1,below,1
