book_id,chap_num,term_str,n,tfidf
1,1,111,1,0.0005932246996499825
1,1,130,1,0.0005932246996499825
1,1,22nd,2,0.001186449399299965
1,1,3,1,0.0005932246996499825
1,1,33,1,0.0005932246996499825
1,1,a,224,0.0
1,1,able,2,0.0002285227435148493
1,1,abominable,1,0.00033568135993481313
1,1,about,26,0.0
1,1,absurd,2,0.0006713627198696263
1,1,abundant,1,0.0005932246996499825
1,1,accident,1,0.00033568135993481313
1,1,according,2,0.000389398487672985
1,1,accounts,1,0.00033568135993481313
1,1,accusing,1,0.0005932246996499825
1,1,acquired,1,0.0005932246996499825
1,1,actually,3,0.0006119275823787058
1,1,added,2,0.00032525021729590774
1,1,adding,1,0.0004353127238881856
1,1,addition,2,0.00098718667139322
1,1,additions,1,0.00049359333569661
1,1,addressed,2,0.00098718667139322
1,1,adelard,2,0.001186449399299965
1,1,adjoining,1,0.0005932246996499825
1,1,admirable,1,0.0004353127238881856
1,1,admirers,1,0.0005932246996499825
1,1,admittance,1,0.00049359333569661
1,1,adopted,1,0.00049359333569661
1,1,adoption,1,0.0005932246996499825
1,1,adventures,1,0.00021389273571079717
1,1,advice,3,0.0004878753259438616
1,1,affair,3,0.0010070440798044394
1,1,afraid,1,4.606388503110496e-05
1,1,after,19,0.0
1,1,afternoon,2,0.00028507210408087324
1,1,afterwards,1,0.0001489254450283529
1,1,again,28,0.0
1,1,age,6,0.0006553045622751637
1,1,agin,1,0.0005932246996499825
1,1,ago,3,5.165983765932516e-05
1,1,agreed,3,0.0007081499879443218
1,1,ah,1,0.00010921742704586062
1,1,ahead,1,4.9294081074980374e-05
1,1,air,5,3.564474495617917e-05
1,1,alarm,1,0.0002245448433043522
1,1,alarmed,2,0.0007237756731093978
1,1,all,67,0.0
1,1,allowed,2,0.00032525021729590774
1,1,allude,1,0.0005932246996499825
1,1,almost,4,0.00010112846159042861
1,1,alone,2,3.971481682243831e-05
1,1,already,5,2.356566443078451e-05
1,1,also,14,0.00035394961556650017
1,1,altering,1,0.0005932246996499825
1,1,always,6,0.0003358845596940012
1,1,am,24,0.00017109477578966002
1,1,among,6,5.751637855492855e-05
1,1,an,29,0.0
1,1,ancient,1,6.299374469458135e-05
1,1,and,418,0.0
1,1,andjools,1,0.0005932246996499825
1,1,angelica,1,0.0005932246996499825
1,1,anger,1,0.00016262510864795387
1,1,angry,3,0.0005099936625316199
1,1,anniversary,1,0.0005932246996499825
1,1,announce,1,0.0004353127238881856
1,1,announced,1,0.00049359333569661
1,1,announcement,1,0.00049359333569661
1,1,annoyance,2,0.00098718667139322
1,1,another,2,9.426265772313803e-06
1,1,answered,6,4.2773693947415006e-05
1,1,answers,1,0.0002622564726013264
1,1,anxiety,1,0.000294330607789865
1,1,any,13,0.0
1,1,anyhow,1,0.0002622564726013264
1,1,anyone,2,0.0002728372640561361
1,1,anything,3,6.763251643628853e-05
1,1,anyway,7,0.0005753106559822019
1,1,anywhere,1,0.00020397586079290192
1,1,apparently,1,0.00039396197174323754
1,1,appeared,3,0.00019989860262766565
1,1,approval,1,0.0004353127238881856
1,1,are,17,0.0
1,1,argued,1,0.0004353127238881856
1,1,army,1,0.0002622564726013264
1,1,around,4,0.0010490258904053056
1,1,arrangement,1,0.0003618878365546989
1,1,arrangements,1,0.0004353127238881856
1,1,arrival,2,0.0007237756731093978
1,1,arrived,3,0.0008322022443791659
1,1,art,1,0.0002622564726013264
1,1,articles,2,0.001186449399299965
1,1,as,69,0.0
1,1,ask,1,6.299374469458135e-05
1,1,asked,7,0.00010241005462836488
1,1,assembled,1,0.00027740074812638866
1,1,assembly,1,0.0004353127238881856
1,1,assistant,1,0.0005932246996499825
1,1,assortment,1,0.0005932246996499825
1,1,astonished,1,0.0002622564726013264
1,1,at,73,0.0
1,1,attentive,2,0.001186449399299965
1,1,attractions,1,0.0005932246996499825
1,1,audience,2,0.0008706254477763712
1,1,authority,2,0.00058866121557973
1,1,autumn,1,0.00021389273571079717
1,1,away,24,0.0
1,1,back,15,0.0
1,1,backarappers,1,0.0005932246996499825
1,1,backed,1,0.000294330607789865
1,1,bad,5,0.0006245673967548984
1,1,badger,1,0.00049359333569661
1,1,badgering,1,0.0005932246996499825
1,1,bag,25,0.004065627716198846
1,1,baggins,20,0.0042778547142159435
1,1,bagginses,16,0.005016385594626715
1,1,bags,2,0.0006713627198696263
1,1,bagshot,3,0.0010070440798044394
1,1,balls,1,0.0005932246996499825
1,1,bank,1,8.635383771411137e-05
