term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,term_str,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
fine,0.00025976905755303815,-0.005567703836364319,-0.00023587005499079846,-0.0026752682918323987,-0.006577134101424151,0.0007835386379961946,-0.003974664351409109,-0.0013507062998158856,3.091623454067467e-05,-0.0027567234954357653,,,,,,,,,,3781,39,8.220771993726919e-05,13.570366594006147,32.90459014958683,fine,NN,NN,0,3781,39,8.220771993726919e-05,13.570366594006147,32.90459014958683,fine,NN,NN,0
worn,0.0008443581303586038,0.0008765353208548863,-0.0009861999170589638,0.0013651400729546518,-0.0003856549020023659,-0.0031842995269413194,9.156894461209495e-05,-0.001113984126599626,0.0044195949020086785,0.002836689881386357,,,,,,,,,,12272,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,worn,NN,NN,0,12272,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,worn,NN,NN,0
nice,0.03418395862342524,0.011377352285102385,-0.01327545160683031,0.001281881109437022,0.0009170902411166203,0.003017479095859549,-0.0044000093720686995,0.003487014127115432,-0.0031132685838847684,-0.005962271365808834,,,,,,,,,,7022,90,0.0001897101229321,12.36391571653872,32.90459014958683,nice,JJ,JJ,0,7022,90,0.0001897101229321,12.36391571653872,32.90459014958683,nice,JJ,JJ,0
remote,0.004438321276754783,0.0014131011039668635,-0.001459082601344233,0.0025225701089130344,0.0004773062540706978,-0.0013720857350228517,0.0002652633316837415,0.0008048861799999648,-0.0009939330924809081,0.0012180677901845757,,,,,,,,,,8514,29,6.112881738925145e-05,13.997787817740823,32.90459014958683,remot,NN,NN,0,8514,29,6.112881738925145e-05,13.997787817740823,32.90459014958683,remot,NN,NN,0
horror,0.0009611271881493259,0.0032699906195700697,-0.0013715783465856378,0.0006584765618627792,0.0026249182854848263,-0.00013114316073651133,0.0027504124154943545,-0.0038075721010409264,0.003467919471192447,0.0061474137583067065,,,,,,,,,,5261,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,horror,NN,NN,0,5261,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,horror,NN,NN,0
task,-0.0009335957210436294,-0.0019474901941730171,0.0030774617637728124,0.002635362835231705,-0.0015942724578922722,-0.0001890031184908946,-0.002674515643996094,-0.002416390542765659,-0.00017689232235390957,0.0018831990755950076,,,,,,,,,,10600,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,task,NN,NN,0,10600,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,task,NN,NN,0
helm,-0.022105606895159686,0.01177946551931902,-0.015693128917900097,-0.0031724926269362103,0.0007647025088534191,0.0018925431168901018,-0.0006327343438028917,-0.0035718717064466164,-0.0004594956006014304,0.001138793129092542,,,,,,,,,,5023,85,0.0001791706716581,12.446377876730692,32.90459014958683,helm,NN,NN,0,5023,85,0.0001791706716581,12.446377876730692,32.90459014958683,helm,NN,NN,0
understood,0.000984141714720857,-0.002348197048758084,0.0010328007136339477,-0.00226990289979258,-0.004084173951193394,-0.0010459582565574051,-0.0012709165933112063,-0.002268482046336831,0.0014612331395527816,-0.00040056425656121195,,,,,,,,,,11347,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,understood,NN,NN,0,11347,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,understood,NN,NN,0
crack,0.0034451014362763886,-0.0038155250683756174,-0.003153717265040382,-0.0005434943763169982,-0.003195187530277345,-0.0012527259026424505,0.009948918305899501,0.002091798936126505,0.0008008717317434794,0.0015188754686852122,,,,,,,,,,2176,40,8.431561019207097e-05,13.533840717981032,32.90459014958683,crack,NN,NN,0,2176,40,8.431561019207097e-05,13.533840717981032,32.90459014958683,crack,NN,NN,0
pardon,-0.0004043319285216607,-0.004753661736155727,0.0015467340582679167,-0.0006308177097954574,0.0012581839285786788,0.0003222278333875389,0.00020588834890506182,-0.00387903604414731,-0.002009491069728325,-0.0028691754428130205,,,,,,,,,,7507,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,pardon,NN,NN,0,7507,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,pardon,NN,NN,0
break,0.0010987438340739246,-0.004499124644370005,-0.0009222595406982524,-0.002111334223607619,-0.004670202305451222,-0.00215073126969077,-0.001236222677707144,-0.001066085161710123,-0.006210150429871821,-0.00024230094294144913,,,,,,,,,,1192,37,7.799193942766564e-05,13.646315447239443,32.90459014958683,break,NN,NN,0,1192,37,7.799193942766564e-05,13.646315447239443,32.90459014958683,break,NN,NN,0
afternoon,-0.0006977585562345871,-0.0045036987686653575,-0.0009258083842689648,0.0011973622437886145,-0.0013420215021043506,-0.0014059377722607852,0.0008637029581330521,0.003940257521953283,-0.005451108744976299,-0.0011959049558939298,,,,,,,,,,144,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,0,144,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,0
seek,-0.003484681113685587,0.004161549959919567,-0.000430501823933163,0.010052477618638513,0.0009114328648534283,0.0011288123333653048,-0.0012939772028358319,-0.00033823088435858703,0.0015151869187062176,0.001182776526420127,,,,,,,,,,9122,55,0.000115933964014,13.074409099343736,32.90459014958683,seek,NN,NN,0,9122,55,0.000115933964014,13.074409099343736,32.90459014958683,seek,NN,NN,0
endure,-0.00126427416676172,0.0041059280349067615,-0.00016561781407908958,0.002153278268145304,-0.0006511328449824334,7.43199926205909e-05,-0.0028562658116833032,0.0006067802085702194,0.006439607882835472,0.0035523958721481157,,,,,,,,,,3281,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,endur,NN,NN,0,3281,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,endur,NN,NN,0
