term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
fine,0.000259710264939669,-0.005573779856756412,-0.00023472184998750084,-0.0026662856518296315,-0.006510511950965091,0.0006007702418189633,0.004225071219739067,-0.001226741920797102,-0.00014966206774188193,-0.0027430804049375667,3781,39,8.220771993726919e-05,13.570366594006147,32.90459014958683,fine,NN,NN,3781,39,8.220771993726919e-05,13.570366594006147,32.90459014958683,fine,NN,NN,0,3781,39,8.220771993726919e-05,13.570366594006147,32.90459014958683,fine,NN,NN,0
worn,0.0008437308353872698,0.0008765605738745277,-0.0009776266697367284,0.0013721545421871628,-0.0004654729516023748,-0.003214891717026994,-7.242452411649333e-05,-0.001186737890856009,0.004263236354335674,0.0025041045850409064,12272,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,worn,NN,NN,12272,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,worn,NN,NN,0,12272,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,worn,NN,NN,0
nice,0.03418441837540281,0.011372788848195406,-0.013283781216692353,0.0012782288810292916,0.000932457987679128,0.0029545586583524515,0.004479699457373816,0.0036306887050779352,-0.0031999973035838638,-0.0064781637306542406,7022,90,0.0001897101229321,12.36391571653872,32.90459014958683,nice,JJ,JJ,7022,90,0.0001897101229321,12.36391571653872,32.90459014958683,nice,JJ,JJ,0,7022,90,0.0001897101229321,12.36391571653872,32.90459014958683,nice,JJ,JJ,0
remote,0.004436923736453269,0.00141691533758712,-0.0014571662186158478,0.0025144874314242415,0.0004948001739002803,-0.0012519867214371083,-0.0004392948411979634,0.0006700096805524379,-0.0008377787962054747,0.000898399327044749,8514,29,6.112881738925145e-05,13.997787817740823,32.90459014958683,remot,NN,NN,8514,29,6.112881738925145e-05,13.997787817740823,32.90459014958683,remot,NN,NN,0,8514,29,6.112881738925145e-05,13.997787817740823,32.90459014958683,remot,NN,NN,0
horror,0.0009606175839189842,0.003281193284948781,-0.0013649746693055373,0.000636991867870768,0.002593361999902019,0.00012132466173763602,-0.003045627837853739,-0.003937457339297639,0.00365274439921766,0.006108064170067288,5261,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,horror,NN,NN,5261,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,horror,NN,NN,0,5261,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,horror,NN,NN,0
task,-0.0009326652350863469,-0.0019453609316377905,0.0030837466256917172,0.0026522841037604646,-0.001611180133213359,-0.00020274223517126715,0.002648509984795621,-0.0025480149712370694,-6.233268774086812e-05,0.0020948818878327603,10600,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,task,NN,NN,10600,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,task,NN,NN,0,10600,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,task,NN,NN,0
helm,-0.022105056800101632,0.011779000640877835,-0.015726631063889628,-0.0032155443135623942,0.000922762146000106,0.0021482841802188315,0.0005250583679127292,-0.0033756401005450155,-0.0004401594705193976,0.0009914991554612986,5023,85,0.0001791706716581,12.446377876730692,32.90459014958683,helm,NN,NN,5023,85,0.0001791706716581,12.446377876730692,32.90459014958683,helm,NN,NN,0,5023,85,0.0001791706716581,12.446377876730692,32.90459014958683,helm,NN,NN,0
understood,0.0009838814755901426,-0.002344166122781882,0.0010348202042636024,-0.0022644032445344048,-0.0041111293198206455,-0.000991813396957196,0.0012046697746679752,-0.002324667965168818,0.0015640105766459378,-0.0005916393886591075,11347,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,understood,NN,NN,11347,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,understood,NN,NN,0,11347,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,understood,NN,NN,0
crack,0.0034482737988386857,-0.0038114432491034504,-0.0031430014483881325,-0.0005102862744351897,-0.0032385448352131303,-0.0013873103465822467,-0.009716620466308699,0.002060583133985778,0.0008458555396252562,0.002421692392253348,2176,40,8.431561019207097e-05,13.533840717981032,32.90459014958683,crack,NN,NN,2176,40,8.431561019207097e-05,13.533840717981032,32.90459014958683,crack,NN,NN,0,2176,40,8.431561019207097e-05,13.533840717981032,32.90459014958683,crack,NN,NN,0
pardon,-0.00040721734560269715,-0.0047556470089449385,0.001539349397900773,-0.0006427575872459061,0.0011956915344285516,0.000373522165979447,-0.00032988081963468717,-0.0038690328014788756,-0.0019689949731118953,-0.0035178190380828977,7507,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,pardon,NN,NN,7507,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,pardon,NN,NN,0,7507,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,pardon,NN,NN,0
