term_str,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
1,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1,NN,NN,0
102,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,102,CD,CD,0
1070,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1070,CD,CD,0
111,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,111,CD,CD,0
1147,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1147,CD,CD,0
130,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,130,CD,CD,0
1311,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1311,CD,CD,0
1417,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1417,CD,CD,0
1418,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1418,CD,CD,0
1419,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,1419,CD,CD,0
1420,3,6.323670764405322e-06,17.27080631214724,5.954196310386875,1420,CD,CD,0
1421,2,4.215780509603548e-06,17.855768812868394,5.954196310386875,1421,CD,CD,0
20th,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,20th,JJ,JJ,0
22nd,2,4.215780509603548e-06,17.855768812868394,5.954196310386875,22nd,CD,CD,0
3,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,3,CD,CD,0
33,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,33,CD,CD,0
4,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,4,CD,CD,0
5,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,5,CD,CD,0
80,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,80,CD,CD,0
a,9078,0.019135427733090505,5.707610039930502,0.0,a,DT,DT,1
aback,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,aback,NN,NN,0
abandon,7,1.4755231783612418e-05,16.048413890810792,18.161341077497564,abandon,NN,NN,0
abandoned,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,abandon,VBN,VB,0
abandons,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abandon,NNS,NN,0
abashed,3,6.323670764405322e-06,17.27080631214724,13.107701428997157,abash,VBN,VB,0
abate,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abat,NN,NN,0
abated,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abat,NN,NN,0
abed,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abe,NNS,NN,0
abide,9,1.8971012293215967e-05,15.685843811426082,25.058441780501063,abid,NN,NN,0
abiding,1,2.107890254801774e-06,18.855768812868394,5.954196310386875,abid,VBG,VB,0
ablaze,2,4.215780509603548e-06,17.855768812868394,9.90839262077375,ablaz,NN,NN,0
able,40,8.431561019207097e-05,13.533840717981032,32.11155887321959,abl,JJ,JJ,0
aboard,5,1.053945127400887e-05,16.533840717981032,15.816785241547501,aboard,NN,NN,0
abode,4,8.431561019207096e-06,16.855768812868394,15.816785241547501,abod,NN,NN,0
abominable,6,1.2647341528810643e-05,16.27080631214724,20.215402857994317,abomin,JJ,JJ,0
about,845,0.001781167265307499,9.132961281698849,0.0,about,IN,IN,1
above,350,0.0007377615891806209,10.404557701036067,5.580488285039572,abov,IN,IN,1
