term_str,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
fine,3781,39,8.220771993726919e-05,13.570366594006147,32.90459014958683,fine,NN,NN,0
worn,12272,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,worn,NN,NN,0
nice,7022,90,0.0001897101229321,12.36391571653872,32.90459014958683,nice,JJ,JJ,0
remote,8514,29,6.112881738925145e-05,13.997787817740823,32.90459014958683,remot,NN,NN,0
horror,5261,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,horror,NN,NN,0
task,10600,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,task,NN,NN,0
helm,5023,85,0.0001791706716581,12.446377876730692,32.90459014958683,helm,NN,NN,0
understood,11347,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,understood,NN,NN,0
crack,2176,40,8.431561019207097e-05,13.533840717981032,32.90459014958683,crack,NN,NN,0
pardon,7507,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,pardon,NN,NN,0
break,1192,37,7.799193942766564e-05,13.646315447239443,32.90459014958683,break,NN,NN,0
afternoon,144,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,afternoon,NN,NN,0
seek,9122,55,0.000115933964014,13.074409099343736,32.90459014958683,seek,NN,NN,0
endure,3281,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,endur,NN,NN,0
glimpse,4439,31,6.5344597898855e-05,13.90157250248152,32.90459014958683,glimps,NN,NN,0
burst,1368,36,7.588404917286387e-05,13.685843811426082,32.90459014958683,burst,NN,NN,0
eager,3096,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,eager,NN,NN,0
ate,503,32,6.745248815365677e-05,13.855768812868396,32.90459014958683,ate,NN,NN,0
storm,10187,50,0.00010539451274,13.21191262309367,32.90459014958683,storm,NN,NN,0
hither,5144,42,8.853139070167451e-05,13.463451390089634,32.90459014958683,hither,NN,NN,0
story,10192,60,0.0001264734152881,12.948878217259876,32.90459014958683,stori,NN,NN,0
strike,10259,28,5.902092713444967e-05,14.04841389081079,32.90459014958683,strike,NN,NN,0
strider,10255,232,0.000489030539114,10.997787817740823,32.90459014958683,strider,NN,NN,0
beautiful,732,55,0.000115933964014,13.074409099343736,32.90459014958683,beauti,NN,NN,0
desperate,2621,35,7.377615891806209e-05,13.726485795923429,32.90459014958683,desper,NN,NN,0
dwell,3056,45,9.485506146607982e-05,13.36391571653872,32.90459014958683,dwell,NN,NN,0
hole,5183,59,0.0001243655250333,12.973125763506554,32.90459014958683,hole,NN,NN,0
slain,9539,53,0.0001117181835044,13.127848358305195,32.88482321849072,slain,NN,NN,0
endless,3276,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,endless,NN,NN,0
skill,9511,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,skill,NN,NN,0
sense,9150,42,8.853139070167451e-05,13.463451390089634,32.88482321849072,sens,NN,NN,0
knife,5820,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,knife,NN,NN,0
clearer,1784,24,5.0589366115242574e-05,14.27080631214724,32.88482321849072,clearer,NN,NN,0
service,9175,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,servic,NN,NN,0
clean,1779,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,clean,NN,NN,0
enter,3319,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,enter,NN,NN,0
hewn,5080,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,hewn,NN,NN,0
stern,10115,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,stern,NN,NN,0
bird,909,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,bird,NN,NN,0
meaning,6523,28,5.902092713444967e-05,14.04841389081079,32.88482321849072,mean,NN,NN,0
garden,4308,50,0.00010539451274,13.21191262309367,32.88482321849072,garden,NN,NN,0
gamgee,4290,45,9.485506146607982e-05,13.36391571653872,32.88482321849072,gamge,NN,NN,0
waste,11882,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,wast,NN,NN,0
galadriel,4275,83,0.0001749548911485,12.48072938152147,32.88482321849072,galadriel,NN,NN,0
lore,6265,49,0.0001032866224852,13.241058968753189,32.88482321849072,lore,NN,NN,0
race,8225,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,race,NN,NN,0
smooth,9664,37,7.799193942766564e-05,13.646315447239443,32.88482321849072,smooth,NN,NN,0
heed,5006,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,heed,NN,NN,0
bow,1133,41,8.642350044687274e-05,13.498216808250312,32.88482321849072,bow,NN,NN,0
loss,6272,27,5.69130368796479e-05,14.100881310704926,32.88482321849072,loss,NN,NN,0
